업체회원ID,상호명,주소,업태명,소재지전화번호,테이블정보,메뉴정보,운영시간정보
null,정참치,서울특별시 강남구 대치동 894-5 한정빌딩 ,일식,null,null,null,null
null,봉추찜닭압구정로데오점,서울특별시 강남구 신사동 663-7 지상2층 ,한식,null,null,null,null
null,하루,서울특별시 강남구 신사동 663-9 1층 ,분식,  02- 514-5557,null,null,null
null,강남샤오츠,서울특별시 강남구 역삼동 686-3 ,중국식,null,null,null,null
null,칠프로 칠백식당,서울특별시 강남구 대치동 942-13 ,경양식,  02-555 -5245,null,null,null
null,그림나베 학동역점,서울특별시 강남구 논현동 85-1 ,일식,null,null,null,null
null,한방대가삼계탕,서울특별시 강남구 역삼동 830-38 2층 ,한식,02-404 -5613,null,null,null
null,흥부이가,서울특별시 강남구 역삼동 826-39 ,한식,null,null,null,null
null,교대이층집강남역점,서울특별시 강남구 역삼동 831-25 ,중국식,null,null,null,null
null,광양불고기 수서,서울특별시 강남구 수서동 726 ,한식,02-415 -9293,null,null,null
null,닭갈비두목,서울특별시 강남구 역삼동 747-10 ,한식,  02- 564-9657,null,null,null
null,오레노카츠,서울특별시 강남구 대치동 901-38 1층 ,한식,02-565 -5123,null,null,null
null,향촌면옥,서울특별시 강남구 압구정동 454 ,한식,  02-0546-7542,null,null,null
null,문,서울특별시 강남구 논현동 91-11 지상1.2층 ,한식,  02- 516-8228,null,null,null
null,(주)도라후구현복집,서울특별시 강남구 논현동 96-15 지상1,2층 ,한식,  02- 511-6888,null,null,null
null,옛날집 도산사거리점,서울특별시 강남구 신사동 626-70 지하1층 ,중국식,02- 515-5867,null,null,null
null,나리스시 논현본점,서울특별시 강남구 논현동 249-6 지하1층101호 ,일식,null,null,null,null
null,새마을식당,서울특별시 강남구 신사동 609-0 지상1층 102~106호 ,한식,null,null,null,null
null,메밀연가,서울특별시 강남구 대치동 935-24 지상1,2층 ,경양식,null,null,null,null
null,뱃고동,서울특별시 강남구 신사동 663-0 ,분식,  02- 514-8008,null,null,null
null,우림황소양곱창,서울특별시 강남구 신사동 516-1 ,한식,null,null,null,null
null,송림,서울특별시 강남구 논현동 37-2 지상1층 ,한식,null,null,null,null
null,텐파 마라탕 마라샹꿔,서울특별시 강남구 청담동 126-7 ,한식,02-515 -1100,null,null,null
null,다정한상,서울특별시 강남구 도곡동 467-24 우성캐릭터199 ,한식,null,null,null,null
null,주식회사 양인환대(본점),서울특별시 강남구 도곡동 954-16 지상1,2층 ,한식,  02-2057-2412,null,null,null
null,대아 부대찌개,서울특별시 강남구 역삼동 792-36 ,한식,02-931 -9393,null,null,null
null,분짜라붐 역삼점,서울특별시 강남구 역삼동 644-10 ,기타,null,null,null,null
null,취원,서울특별시 강남구 역삼동 647-2 ,한식,  02- 565-6178,null,null,null
null,백년육일집,서울특별시 강남구 역삼동 706-13 윤익빌딩 ,한식,null,null,null,null
null,춘향골남원추어탕,서울특별시 강남구 청담동 71-20 ,한식,null,null,null,null
null,대찬횟집,서울특별시 강남구 대치동 897-23 ,일식,null,null,null,null
null,막둥이냉면,서울특별시 강남구 대치동 941-16 지상1층 ,호프/통닭,02- 557-3188,null,null,null
null,아선재,서울특별시 강남구 대치동 968-4 동원빌딩 ,한식,02-6339-1112,null,null,null
null,토담골49번지,서울특별시 강남구 청담동 49 유림빌딩 ,한식,null,null,null,null
null,애란궁,서울특별시 강남구 수서동 490-4 지하1,지상1 ,한식,null,null,null,null
null,아구본가 첨벙 신사본점,서울특별시 강남구 논현동 16-2 1층나호 ,한식,  02-0543-8873,null,null,null
null,영동곱창,서울특별시 강남구 논현동 212-14 ,한식,null,null,null,null
null,영동올뱅이집,서울특별시 강남구 개포동 1231-7 지상1층 ,한식,02- 573-3528,null,null,null
null,(주)닭으로가,서울특별시 강남구 신사동 662-6 (지상1층) ,한식,null,null,null,null
null,그랜드키친,서울특별시 강남구 삼성동 159-8 지상1층 ,뷔페식,  02-0000-0000,null,null,null
null,양평해장국,서울특별시 강남구 삼성동 161-8 지상1층 ,한식,02- 561-5242,null,null,null
null,압구정제주집(狎鷗亭濟州緝),서울특별시 강남구 신사동 588-12 ,한식,null,null,null,null
null,추풍령칼삼겹살,서울특별시 강남구 신사동 657-21 ,한식,null,null,null,null
null,더차이나,서울특별시 강남구 대치동 890-30 지하1층 ,한식,  02- 501-4795,null,null,null
null,현경,서울특별시 강남구 대치동 896-50 ,중국식,null,null,null,null
null,순리대로,서울특별시 강남구 도곡동 518-4 ,한식,null,null,null,null
null,동천홍 학동점,서울특별시 강남구 논현동 85-1 ,한식,null,null,null,null
null,와인주막차차 압구정점,서울특별시 강남구 신사동 658-1 ,한식,null,null,null,null
null,동원연탄석쇠구이,서울특별시 강남구 신사동 661-5 ,한식,null,null,null,null
null,닭한마리 감자탕,서울특별시 강남구 신사동 513-2 1층 ,한식,null,null,null,null
null,이층집왕족발,서울특별시 강남구 신사동 657-23 지상2층 ,한식,null,null,null,null
null,종쓰부,서울특별시 강남구 신사동 569-27 ,중국식,null,null,null,null
null,취향의공간,서울특별시 강남구 신사동 511-19 ,한식,null,null,null,null
null,선남sea,서울특별시 강남구 자곡동 649 ,한식,02-6211-5005,null,null,null
null,신촌설렁탕,서울특별시 강남구 도곡동 423-4 1층 ,한식,02-572 -5636,null,null,null
null,봉추찜닭주공공이,서울특별시 강남구 역삼동 814-5 흥국빌딩별관2층 ,한식,  02- 565-4593,null,null,null
null,고향집,서울특별시 강남구 역삼동 748-26 지상1층 ,한식,null,null,null,null
null,대가,서울특별시 강남구 역삼동 810-13 ,한식,null,null,null,null
null,바른정육식당,서울특별시 강남구 논현동 58-5 1층 ,일식,  02- 549-2926,null,null,null
null,밀본 대치포스코점,서울특별시 강남구 대치동 956-15 ,한식,null,null,null,null
null,학동나주곰탕,서울특별시 강남구 논현동 58-5 ,경양식,null,null,null,null
null,청담항,서울특별시 강남구 청담동 131-14 ,일식,null,null,null,null
null,본가 신의주 찹쌀순대,서울특별시 강남구 삼성동 107-4 지상1층 ,한식,  02- 516-4840,null,null,null
null,이조식당,서울특별시 강남구 삼성동 165-15 ,한식,  02- 563-0623,null,null,null
null,송화,서울특별시 강남구 역삼동 645-19 ,한식,null,null,null,null
null,성가네큰집추어탕,서울특별시 강남구 삼성동 170-2 지상1층 ,한식,null,null,null,null
null,미로정,서울특별시 강남구 역삼동 671-27 지상2층 ,한식,null,null,null,null
null,별난횟집 역삼직영점,서울특별시 강남구 역삼동 723-6 지상1층 ,한식,null,null,null,null
null,한옥집 김치찜 GFC몰점,서울특별시 강남구 역삼동 737 강남파이낸스센터 ,한식,null,null,null,null
